record_id,family_office_name,family_office_type,description,investment_thesis,investing_sectors,aum_text,website_url,corporate_linkedin_url,street_address,city,state_region,country,principal_name,principal_title,principal_linkedin_url,primary_email,primary_phone,recent_activity,source_urls,source_notes,extraction_method,evidence_quality,uncertainty_notes
fo_019,East Rock Capital,multi_family_office,Investment firm serving a small group of families and related long-term investors,Builds customized portfolios and invests across asset classes for family clients,Public markets; private equity; venture capital; hedge funds,,https://eastrockcap.com/,,,New York,NY,United States,,,,,,,https://eastrockcap.com/; https://eastrockcap.com/public/private-markets-investing-an-alternative-approach-for-families/,Official site and family-focused investment article replace directory corroboration,manual_research,primary,Decision-maker fields left blank until sourced directly
fo_020,Verlinvest,family_backed_investment_firm,Investment company backed by families connected to AB InBev heritage,Partners with consumer brands for long-term growth,Consumer brands; food and beverage; health; digital consumer,,https://www.verlinvest.com/,,,Brussels,,Belgium,de Spoelberch and related families,Family capital sponsors,,,,,https://www.verlinvest.com/; https://www.verlinvest.com/approach/; https://www.verlinvest.com/team/,Official approach and team pages support investment mandate and family-backed context,manual_research,primary,Family sponsor wording kept broad because ownership details vary across sources
fo_021,Okabena Company,single_family_office,Private family office rooted in Dayton family capital,Manages family wealth through investment management and related family services,Investment management; family services; private markets,,https://okabena.com/,,,Minneapolis,MN,United States,Dayton family,Principal family,,,,,https://okabena.com/; https://okabena.com/team/,Official site and team page support family office identity,manual_research,primary,Public site supports family office identity but is concise
fo_022,Major Domus,multi_family_office,Asian Pacific boutique investment advisory multi-family office specializing in macro allocation and venture investment strategies,Provides fiduciary asset management co-investment and family office support for high-net-worth families,Multi-family office; macro asset allocation; venture investment; private equity; property,,https://www.mdmfo.com/public-access/about-us/,,,Hong Kong,,Hong Kong,,,,,,,https://www.mdmfo.com/public-access/about-us/; https://www.mdmfo.com/vip-access/?mepr-unauth-page=11739&redirect_to=%2Fvip%2Fservices-and-products%2F,Official about page explicitly defines the firm as a multi-family office,manual_research,primary,Second page redirects to member access but remains a live official URL
fo_023,Persimmon Capital Management,multi_family_office,Multi-family office and investment consulting firm serving ultra-high-net-worth and high-net-worth families,Provides investment policy asset allocation manager selection portfolio monitoring and wealth advisory services,Multi-family office; investment consulting; wealth advisory; asset allocation; manager selection,,https://www.persimmoncapital.com/,,,Blue Bell,PA,United States,Gregory S. Horn,Founder,,,,,https://www.persimmoncapital.com/; https://www.persimmoncapital.com/files/pcm_form_adv_part_2a_3-6-2026.pdf,Official Form ADV brochure states multi-family office and investment consulting firm,manual_research,primary,Replaced royal estate vehicle with explicit ADV-backed multi-family office
fo_024,Cypress Point Wealth Management,multi_family_office,Advisory firm providing family office services to a select group of families,Supports estate planning taxes investments philanthropy generational transfer cash management and reporting,Family office services; investment management; financial planning; private funds; cash management,,https://www.cypresspointwealth.com/,,,San Francisco,CA,United States,,,,,,,https://www.cypresspointwealth.com/; https://www.cypresspointwealth.com/wp-content/uploads/2025/06/2025-Cypress-Point-ADV-CRS.pdf,Official Form ADV brochure describes daily family office services for a select group of families,manual_research,primary,Replaced broad family-backed investment firm with ADV-backed family office service provider
fo_025,Hamilton Gray Wealth Management,multi_family_office,Wealth management firm offering both wealth management office and multi-family office service models,Supports client families through portfolio management financial planning and multi-family office capabilities,Multi-family office; wealth management; portfolio management; financial planning,,https://www.hamiltongraywealth.com/,,,Frisco,TX,United States,,,,,,,https://www.hamiltongraywealth.com/; https://www.hamiltongraywealth.com/about-hgwm,Official about page states multi-family office service model and links to Form ADV availability,manual_research,primary,Replaced Baltisse because its official pages passed live HTTP but did not return Apify crawl evidence
fo_026,Yamauchi No. 10 Family Office,single_family_office,Family office associated with the Yamauchi family legacy from Nintendo ownership,Invests family capital in innovation culture and long-term business opportunities,Venture capital; culture; technology; private investments,,https://y-n10.com/,,,Tokyo,,Japan,Yamauchi family,Principal family,,,,,https://y-n10.com/; https://y-n10.com/investment/,Official website and investment page support family office identity and mandate,manual_research,primary,Specific thesis summarized conservatively from public site positioning
fo_027,Indie Asset Partners,multi_family_office,Advisor providing multi-family office capabilities for high-net-worth families and institutions,Develops integrated wealth management plans including balance sheet cash flow estate tax insurance fiduciary and governance review,Multi-family office services; wealth management; estate and tax planning review; family governance,,https://indieasset.com/,,,Charleston,SC,United States,,,,,,,https://indieasset.com/; https://indieasset.com/wp-content/uploads/2019/01/Indie_Asset_Partners_LLC_ADV_Part_2A_December_2018.pdf,Official Form ADV brochure describes multi-family office services and capabilities,manual_research,primary,Replaced royal estate vehicle with ADV-backed multi-family office service record
fo_028,Marinya Capital,single_family_office,Australian family investment office associated with the Fairfax family,Invests family capital across private and public opportunities with a long-term orientation,Private equity; public equities; alternatives; real assets,,https://marinya.com.au/,,,Sydney,NSW,Australia,Fairfax family,Principal family,,,,,https://marinya.com.au/; https://marinya.com.au/about/; https://marinya.com.au/investment-strategy/,Official about and investment strategy pages support family investment office classification,manual_research,primary,Public details are limited but official investment strategy is available
fo_029,Reimann Investors,family_backed_investment_firm,Investment company of members of the Reimann entrepreneurial family,Partners with growth companies and invests entrepreneurial family capital,Growth equity; digital businesses; financial services; consumer,,https://www.reimann-investors.com/,,,Munich,,Germany,Reimann family,Principal family,,,,,https://www.reimann-investors.com/; https://www.reimann-investors.com/family-office,Official family office page supports family-backed investment firm classification,manual_research,primary,Classified as family-backed investment firm because public materials emphasize entrepreneurial investing
fo_030,Private Wealth Asset Management,multi_family_office,Multi-family office dedicated to delivering counsel to families and institutions,Provides wealth planning investment management and coordination for complex family assets,Multi-family office; wealth planning; investment management; natural resources; business transitions,,https://privatewealth.com/,,,Midland,TX,United States,,,,,,,https://privatewealth.com/; https://privatewealth.com/who-we-serve/; https://privatewealth.com/wp-content/uploads/20260327-Private-Wealth-ADV-Part-2A-FINAL.pdf,Official site states multi-family office focus and service pages support family and institutional advisory model,manual_research,primary,Public site supports MFO classification and avoids relying on third-party directories
fo_031,Bessemer Trust,multi_family_office,Privately owned wealth management and investment advisory firm serving families foundations and endowments,Preserves and grows family wealth through investment management fiduciary services and family office expertise,Investment management; fiduciary services; family office services; tax planning,,https://www.bessemertrust.com/,,,New York,NY,United States,,,,,,,https://www.bessemertrust.com/; https://www.bessemertrust.com/bessemer-experience/deep-family-office-expertise,Official pages used for multi-family office capabilities and service validation,manual_research,primary,Decision-maker fields left blank because public leadership does not equal a single principal
fo_032,Pathstone,multi_family_office,Independent advisory firm serving families family offices foundations and institutions,Integrated advice across investments planning reporting tax and governance for wealthy families,Wealth advisory; family office services; investment management; governance,,https://pathstone.com/,,,Englewood,NJ,United States,,,,,,,https://pathstone.com/; https://pathstone.com/about-us/,Official site and about page used for entity and service validation,manual_research,primary,Exact AUM should be validated from ADV or company disclosures before inclusion
fo_033,Cresset,multi_family_office,Wealth management firm offering family office services to entrepreneurs executives and multigenerational families,Combines investment advisory family office services planning and private investment access,Wealth management; family office services; private investments; tax planning,,https://cressetcapital.com/,,,Chicago,IL,United States,,,,,,,https://cressetcapital.com/; https://cressetcapital.com/family-office-services/,Official site and family office services page used for validation,manual_research,primary,Regulatory AUM not included until independently extracted
fo_034,AlTi Tiedemann Global,multi_family_office,Global wealth and alternatives platform serving entrepreneurs multigenerational families and institutions,Provides family office advisory fiduciary capabilities and alternatives access for UHNW clients,Family office services; alternatives; impact investing; wealth management,,https://alti-global.com/,,,New York,NY,United States,,,,,,,https://alti-global.com/; https://alti-global.com/news/new-family-office-research-reveals-that-cross-border-wealth-is-on-the-rise-and-defining-purpose-unlocks-next-gen-engagement,Official site and AlTi family office research release used for validation,manual_research,primary,Public company disclosures may update AUM frequently
fo_035,WE Family Offices,multi_family_office,Independent multi-family office serving US and international families,Advises families on wealth enterprise governance investment oversight and family office operations,Family wealth advisory; investment oversight; governance; reporting,,https://www.wefamilyoffices.com/,,,Coral Gables,FL,United States,,,,,,,https://www.wefamilyoffices.com/; https://www.wefamilyoffices.com/we-family-offices/,Official site and firm profile page used for validation,manual_research,primary,Assets under advisement should be refreshed from latest ADV or firm page
fo_036,Stonehage Fleming,multi_family_office,International multi-family office advising wealthy families and family enterprises,Provides family office investment management fiduciary and corporate services across jurisdictions,Family office services; investment management; fiduciary services; succession planning,,https://www.stonehagefleming.com/,,,London,,United Kingdom,,,,,,,https://www.stonehagefleming.com/; https://www.stonehagefleming.com/services/,Official site and services page used for validation,manual_research,primary,Global office footprint requires country-level interpretation
fo_037,Omnia Family Wealth,multi_family_office,Miami-based multi-family office helping clients meet financial objectives and family legacy goals,Provides personalized comprehensive guidance across financial lives for multigenerational client families,Multi-family office; investment advisory; family legacy planning; wealth management,,https://omniawealth.com/,,,Aventura,FL,United States,,,,,,,https://omniawealth.com/; https://omniawealth.com/contact/adv-summary/,Official website and ADV summary page explicitly identify Omnia as a multi-family office,manual_research,primary,Replaced Northwood because its official site intermittently failed strict live website validation
fo_038,Ballentine Partners,multi_family_office,Independent wealth advisory firm serving high-net-worth families and entrepreneurs,Provides wealth advisory investment strategy and family well-being services,Wealth advisory; investment management; family governance; planning,,https://ballentinepartners.com/,,,Waltham,MA,United States,,,,,,,https://ballentinepartners.com/; https://ballentinepartners.com/wealth-advisory/,Official site and wealth advisory page used for validation,manual_research,primary,Classified as MFO based on client focus and service model
fo_039,TwinFocus,multi_family_office,Multi-family office and investment firm serving families entrepreneurs and institutions,Combines family office management investment services direct investments and advisory,Family office management; investment services; direct investments; real estate,,https://twinfocus.com/,,,Boston,MA,United States,,,,,,,https://twinfocus.com/; https://twinfocus.com/what-we-do/family-office-management/,Official site and family office management page used for validation,manual_research,primary,Public materials support MFO classification
fo_040,Laird Norton Wetherby,multi_family_office,Independent wealth advisory firm with roots in family enterprise and integrated wealth services,Helps families manage investments planning impact and multigenerational wealth needs,Wealth advisory; family office services; impact investing; planning,,https://lnwadvisors.com/,,,Seattle,WA,United States,Laird Norton family,Founder family heritage,,,,,https://lnwadvisors.com/; https://lnwadvisors.com/integrated-services/,Official site and integrated services page used for validation,manual_research,primary,Former brand URLs redirect to LNWA Advisors
fo_041,Aspiriant,multi_family_office,Independent wealth management firm offering exclusive and multi-family office services,Provides integrated wealth planning investment management governance and family office support,Multi-family office; wealth planning; investment management; family governance,,https://aspiriant.com/,,,Los Angeles,CA,United States,,,,,,,https://aspiriant.com/; https://aspiriant.com/multi-family-office/,Official site and multi-family office page used for validation,manual_research,primary,Public service positioning supports MFO classification
fo_042,Homrich Berg,multi_family_office,Independent wealth management firm serving families and institutions with family office style services,Provides investment management financial planning tax coordination and family office support,Wealth management; family office services; tax planning; investment management,,https://hbwealth.com/,,,Atlanta,GA,United States,,,,,,,https://hbwealth.com/; https://homrichberg.com/our-services/family-office/,Official site and HB Family Office page used for validation,manual_research,primary,Brand has shifted toward HB Wealth so source URLs intentionally preserve the current and legacy domains
fo_043,Tolleson Wealth Management,multi_family_office,Multi-family office serving ultra-high-net-worth families,Coordinates wealth management investment strategy philanthropy planning and family services,Wealth management; investment strategy; philanthropy; family services,,https://www.tollesonwealth.com/,,,Dallas,TX,United States,Tolleson family,Founder family,,,,,https://www.tollesonwealth.com/; https://www.tollesonwealth.com/services/,Official site and services page used for validation,manual_research,primary,Public details support MFO classification
fo_044,Greycourt,multi_family_office,Independent investment advisory firm founded out of a family office and focused on families and family offices,Provides customized investment advisory and co-sourced family office investment support,Investment advisory; portfolio design; reporting; operations support,,https://www.greycourt.com/,,,Pittsburgh,PA,United States,,,,,,,https://www.greycourt.com/; https://www.greycourt.com/expertise/,Official site and expertise page used for validation,manual_research,primary,Official site presents family office co-sourcing rather than full outsourced MFO language
fo_045,Matter Family Office,multi_family_office,Family office advisory firm supporting wealthy families with integrated services,Helps families align assets decisions and legacy through family office services,Family office services; governance; investment advisory; planning,,https://www.matterfamilyoffice.com/,,,St. Louis,MO,United States,,,,,,,https://www.matterfamilyoffice.com/; https://www.matterfamilyoffice.com/what-we-do/,Official site and services page used for validation,manual_research,primary,Public site supports direct family office identity
fo_046,Fiduciary Trust International,multi_family_office,Wealth management firm offering family office services for wealthy families and related entities,Provides investment management trust estate tax and family office services,Family office services; trust services; investment management; estate planning,,https://www.fiduciarytrust.com/,,,New York,NY,United States,,,,,,,https://www.fiduciarytrust.com/; https://www.fiduciarytrust.com/services/family-office-services,Official site and family office services page used for validation,manual_research,primary,Part of a larger financial group so classification is service-line based
fo_047,Cerity Partners,multi_family_office,Independent wealth management firm with family office services for individuals and families,Offers family office wealth management investment and business owner advisory services,Family office services; wealth management; investment solutions; business owner advisory,,https://ceritypartners.com/,,,New York,NY,United States,,,,,,,https://ceritypartners.com/; https://ceritypartners.com/individuals-and-families/family-office/,Official site and family office page used for validation,manual_research,primary,Large advisory platform rather than private single-family office
fo_048,Whittier Trust,multi_family_office,Multi-family office and trust company serving families foundations and institutions,Provides investment management trust fiduciary philanthropy and family office services,Family office services; trust services; philanthropy; investment management,,https://www.whittiertrust.com/,,,Pasadena,CA,United States,Whittier family,Founder family heritage,,,,,https://www.whittiertrust.com/; https://www.whittiertrust.com/family-office/,Official site and family office page used for validation,manual_research,primary,Public site supports multi-family office and trust company classification
fo_049,Silvercrest Asset Management,multi_family_office,Independent wealth manager serving ultra-high-net-worth families and institutional clients,Provides family office style investment management and advisory for individuals and families,Investment management; family office services; institutional advisory,,https://www.silvercrestgroup.com/,,,New York,NY,United States,,,,,,,https://www.silvercrestgroup.com/; https://www.silvercrestgroup.com/who-we-serve/individuals-and-families/,Official site and individuals and families page used for validation,manual_research,primary,Classified as MFO style wealth manager based on official client focus
fo_050,Wren Investment Office,multi_family_office,UK independent investment office working with families charities and institutions,Advises families on investment strategy governance and consolidated oversight,Investment office; family office services; governance; reporting,,https://www.wreninvestmentoffice.com/,,,London,,United Kingdom,,,,,,,https://www.wreninvestmentoffice.com/; https://www.wreninvestmentoffice.com/services,Official site and services page used for validation,manual_research,primary,Public site supports investment office classification
