name,linkedinUrl,website,description,industry,companyType,companySize,employeeCount,followerCount,headquarters,street,city,state,country,postalCode,specialties,logoUrl,scrapedAt,foundedYear
"Ohana Advisors, LLC",https://www.linkedin.com/company/ohana-advisors-llc,http://ohanaadvisors.com,"For over 25 years, Ohana has advised ultra-high net worth families on all aspects of their lives. We are trusted and deeply experienced investment managers conducting thorough diligence of diverse investment opportunities. We serve as confidants to families facing complex business, financial planning, and personal decisions. Our dedicated team oversees the myriad of administrative responsibilities that often come with significant wealth. Ohana’s extensive capabilities and suite of tailored services help our clients meet their ambitious personal and financial goals.",Financial Services,Privately Held,2-10 employees,14.0,198.0,"San Rafael, California",101 Lucas Valley Rd,San Rafael,California,US,94903,[],https://media.licdn.com/dms/image/v2/C560BAQFgk2VYYhwqGg/company-logo_200_200/company-logo_200_200/0/1630671019009/ohana_advisors_llc_logo?e=2147483647&v=beta&t=Ehu0yTH1zEkHx7fqPPok2LCpo9UgqrmSAMOKCqhEhGc,2026-05-17T04:06:00.509Z,
Cerity Partners,https://www.linkedin.com/company/cerity-partners,http://www.ceritypartners.com,"Our mission is to positively impact the financial well-being of our clients by delivering objective financial advice. 

We serve high-net-worth individuals and their families, businesses and their employees, and nonprofit organizations. 

Our advice, comprehensive oversight and fiduciary duties extend well beyond investments. We bring together all the experts necessary to address the various facets of a client’s financial life, including attorneys, tax advisors, financial planners and investment professionals. 

This approach to advice and service along with our private partnership business model have made us one of the premier investment advisers in the country, and a desired home for talented and passionate financial advisors who seek to serve clients the proper way. 

https://ceritypartners.com/award-disclosures

Cerity Partners LLC reserves the right, to the extent permitted under applicable law, to retain and,monitor all electronic communications. Cerity Partners LLC is not responsible for content posted by third-parties, and does not accept any endorsement, recommendation, or like statement made by third-parties. Third-party content shared, liked, or commented on by Cerity Partners LLC should not be construed as a recommendation of any kind, and is deemed reliable but not guaranteed as to its value, accuracy, or suitability with respect to any person. Statements and messages are subject to the following terms: https://ceritypartners.com/terms-and-conditions/.",Financial Services,Privately Held,"1,001-5,000 employees",1548.0,36922.0,"New York, NY",99 Park Ave,New York,NY,US,10022,"['Investment Advisory', 'Wealth Planning', 'Business Advisory Services', 'Financial Wellness', 'Wellness Coaching', 'Executive Financial Counseling', 'Executive Financial Planning', 'OCIO', 'Financial Planning', 'Estate Planning', 'Workplace Solutions', 'Retirement Plan Consulting', 'Corporate Venture Capital', 'Family Office Services', 'Tax Planning and Preparation']",https://media.licdn.com/dms/image/v2/D560BAQF8MQqSaqg8Rg/company-logo_200_200/company-logo_200_200/0/1666647934428/cerity_partners_logo?e=2147483647&v=beta&t=JvSjfCmRL8lEmfw_nVqc_YMXjkDBg19ALk3Lw2tcOr0,2026-05-17T04:06:10.616Z,
SJS Investment Services,https://www.linkedin.com/company/sjs-investment-services,https://sjsinvest.com/,"SJS Investment Services has been advising people, families, organizations, and communities, managing their assets, and in general, being there for them since 1995. Our time-tested investment philosophy builds on the research of Nobel Laureates and experienced practitioners, implementing in the real world what has been emphasized in the ivory towers. We have approximately $2.8 billion* in assets under management. But most important, we bring major money center investment experience to you through MarketPlus® Investing, and a team of people whose small-town values put you first, all the time, every time. That’s what sets SJS Investment Services apart.

*as of 09/30/25",Investment Management,Privately Held,11-50 employees,26.0,1789.0,"Sylvania, Ohio","6711 Monroe Street, Bldg IV, Suite A",Sylvania,Ohio,US,43560,"['Financial services', 'Financial planning', 'Investment Advisory']",https://media.licdn.com/dms/image/v2/C4E0BAQGFI6OMEMhQ3w/company-logo_200_200/company-logo_200_200/0/1630653975033/sjs_investment_services_logo?e=2147483647&v=beta&t=m6cv66-J2Y_k33vAX7Dxv360RqHvM1DgpP9j_392x08,2026-05-17T04:06:15.910Z,1995.0
REIMANN INVESTORS,https://de.linkedin.com/company/reimann-investors,http://www.reimann-investors.com,"Reimann Investors is the family office and corporate holding of the Reimann entrepreneurial family. Anchored in a decades-long industrial heritage, we operate with a clear dual strategy: preserving wealth through disciplined market strategies and fueling innovation through venture capital investments.

Our capital market investments are entrepreneurial in character, highly liquid, and serve the overarching purpose of maintaining the invested capital in real terms and increasing it with a moderate risk. In doing so, we follow an active management approach with an expanded core satellite strategy and predominantly invest in passive products, such as ETFs in particular.

Our VC investment team backs bold founders building the future of B2B SaaS and FinTech. We invest with high conviction in early-stage partnerships (Seed – Series A), where we do far more than provide capital. We act as a strategic catalyst, working side-by-side with you to navigate the journey from early traction to scale.",,,,21.0,,,Südliche Münchner Straße 2,Grünwald/München,Bavaria,DE,82031,[],https://media.licdn.com/dms/image/v2/C560BAQGgCZOerf38lA/company-logo_200_200/company-logo_200_200/0/1631324555301?e=2147483647&v=beta&t=fUn4Qj0mBI5Pcx281-XXCcjm-vgD9v2ysAJRj_gnt54,2026-05-17T04:06:25.210Z,
Sign in,https://www.linkedin.com/company/2220341,,"Login to LinkedIn to keep in touch with people you know, share ideas, and build your career.",,,,,,,,,,,,[],https://static.licdn.com/scds/common/u/images/logos/favicons/v1/favicon.ico,2026-05-17T04:06:30.508Z,
Third View Private Wealth,https://www.linkedin.com/company/third-view-private-wealth,www.thirdviewpw.com,"We know your wealth is the culmination of hard work, sacrifice, and dreams. We understand what you have built, and we’re dedicated to securing it, preserving it, and growing it for you and your family.

Our commitment is about more than financial returns—it’s about being uncompromising stewards of your success, ensuring your wealth reflects your values, and that it supports your goals for generations to come.

Deep relationships, a sophisticated perspective and unwavering principles are at the core of our approach.

Perspective & Insight
We uncover opportunities and risks others might miss, crafting thoughtful strategies that align with each client’s unique needs.

Sophisticated Strategies
Our advice is rooted in expertise and creativity, delivering tailored solutions that address the complexities of modern wealth management.

Integrity & Transparency
Trust is the cornerstone of our relationships. We provide clear, honest guidance, always putting our clients’ interests first.

Unparalleled attention to our clients’ goals, dreams and interests is at the center of everything we do.

Enduring Commitment to Our Client Partnerships
We don’t just manage wealth, we build lifelong partnerships, ensuring our clients’ success, security, and legacy.

Resilience, Empowerment & Growth
Through all market conditions, we empower our clients to grow their wealth while preserving their peace-of-mind.

Attention to Our Clients’ Holistic Wellbeing
Success extends beyond financial outcomes. We integrate financial, personal, and family goals for meaningful, lasting impact.",Financial Services,Privately Held,11-50 employees,12.0,419.0,"Westport, Connecticut",55 Post Rd W,Westport,Connecticut,US,06880,"['Private Wealth Management', 'Financial Planning', 'Trust & Estate Advisory', 'Multi-Family Office Services', 'Institutional Consulting & Benefits', 'Risk Management', 'Alternative Investments', 'Business Exit Planning', 'Tax Analysis & Advisory', 'Philanthropic Advisory & Administration', 'Corporate Education & Financial Literacy Programs', 'Lifestyle & Concierge Services', 'Life Insurance']",https://media.licdn.com/dms/image/v2/D4E0BAQGPaKOIcLXzzA/company-logo_200_200/B4EZbzvw6FHcAQ-/0/1747846107800?e=2147483647&v=beta&t=bjlpQbevwLDCHD0IX64CdVLgLafdI17UCQtBZxR7p7Q,2026-05-17T04:06:37.609Z,2025.0
Yamauchi-No.10 Family Office,https://www.linkedin.com/company/yamauchi-no-10-family-office,https://y-n10.com/,"挑戦と、生きていく。
私たちは、もっと自由に挑戦できる未来を叶えるため、
投資をはじめとするさまざまなアクションを実行していく。
この国は、独創性とチャレンジ精神を原動力に世界と渡り合ってきた。
しかし近年、その魅力を失いかけているように見える。
失敗を恐れては、革新は望めない。
安定を求めては、停滞しか生まれない。
任天堂中興の祖、山内溥の意志を受け継ぎ、
日本がもう一度、挑戦に満ちた国へと生まれ変わるために。
先見性とユーザー目線の思考を持ちながら、私たちは社会に貢献し続ける。

Dream. Leap. Live.
Japan was once globally renowned for its peopleʼs quality of unique creativity
teamed with a pioneering mindset. Their innovation and inventions changed
the world.
But that golden era has long been gone. It seems that the quality Japanese
people once possessed is overshadowed by worry and fear.
Hiroshi Yamauchi was the third president of Nintendo Co., Ltd. He was one of
those people who possessed truly unique creativity and a pioneering mindset,
along with foresight and the understanding of what users wanted. He took
over his grandfatherʼs struggling playing cards production business and
single-handedly transformed it into the global entertainment and play giant
that Nintendo is today. And he kept going. He never stopped striving for more.
He wanted to reach more people. He dreamed. He leapt. He lived.
We should all follow his example. Seeking stability only clouds your soul. Fear
of failing only kills seeds of innovation. We must create a more exciting future
where people feel free to dream and leap into a world of possibilities. We must
create a freer future where people are eager to truly live.
Drawing inspiration from Hiroshi Yamauchiʼs journey and achievement, we at
Yamauchi No.10 Family Office are determined to create a society that
encourages people to nurture their unique creativity, pioneering mindsets, and
passion, while making sure that we retain our foresight as well as
understanding of usersʼ perspectives. Weʼre determined to help create a more
exciting future for the world by investing in well-intentioned entities and by
implementing our own positive actions. We dare to dream. We dare to leap.
We dare to live. And we dream that you do too.",Capital Markets,Privately Held,2-10 employees,12.0,2260.0,"Minato-ku, Tokyo",,Minato-ku,Tokyo,JP,,"['Incubation', 'Philanthropy', 'Investment']",https://media.licdn.com/dms/image/v2/C560BAQFbPPmQKHTzKA/company-logo_200_200/company-logo_200_200/0/1630655204592?e=2147483647&v=beta&t=asNrvqRs0MU-ePsMfVnTz0C1JsONz-VrR0z3vWyBVuo,2026-05-17T04:06:40.808Z,2020.0
TwinFocus,https://www.linkedin.com/company/twin-focus-capital-partners-llc,https://www.twinfocus.com/,"TwinFocus is a premier boutique multifamily office and private investment firm for global ultra-high net worth accomplished investors, entrepreneurs, their families and other professional investors looking to preserve, enhance and transfer wealth across multiple generations. The firm’s proprietary total balance sheet approach and direct investing platform incorporate the nuances and complexities of all family members, and integrates all aspects of Tax, Legal, Investment, Philanthropic and Intergenerational Planning in its tireless pursuit of establishing enduring legacies. Headquartered in Boston, TwinFocus has assets under advisement of more than $11.6 billion* and manages diversified investment solutions that include exclusive access to unique direct investments in private equity and real estate. 

*as of 12/31/25",Financial Services,Partnership,11-50 employees,43.0,3588.0,"Boston, MA",75 Park Plaza,Boston,MA,US,02116,[],https://media.licdn.com/dms/image/v2/D4E0BAQH81Tlob7Eq6A/company-logo_200_200/B4EZu8l.z7GgAI-/0/1768395632507/twin_focus_capital_partners_llc_logo?e=2147483647&v=beta&t=kCN_NARy2FP5klqdyi1A0CoAbklR-qhK1pArkueIgtc,2026-05-17T04:06:47.608Z,2006.0
Tolleson Wealth Management,https://www.linkedin.com/company/tolleson-wealth-management,http://www.tollesonwealth.com,"At Tolleson, we're all about building relationships and strengthening financial futures. We go beyond traditional wealth management to take care of all things financial for our clients and their families. As a private and family-run business proudly based in Dallas, Texas, our goal is to help nurture a legacy of prosperity and fulfillment for generations to come.

For more information, visit tollesonwealth.com.

Equal Opportunity Employer.

For disclosures regarding rankings, awards and recognition, please visit https://www.tollesonwealth.com/general-website-disclosure/,",Financial Services,Privately Held,201-500 employees,199.0,6990.0,"Dallas, Texas",5500 Preston Road,Dallas,Texas,US,75205,[],https://media.licdn.com/dms/image/v2/D560BAQEDAB1dL-pBNQ/company-logo_200_200/company-logo_200_200/0/1694962213877/tolleson_wealth_management_logo?e=2147483647&v=beta&t=maUrx6TSPCWM4aop7gj_qIX-MHIRm2wCbA94pKrOHc0,2026-05-17T04:06:56.610Z,2000.0
WE Family Offices,https://www.linkedin.com/company/we-family-offices,http://www.wefamilyoffices.com,"With offices in New York and Miami, WE Family Offices is an award-winning independent, family office firm serving single family offices and ultra-high net worth families. The firm addresses the real-life wealth challenges families face. WE works with each family to help create a unique wealth enterprise to manage their wealth as they would manage a well-run company, helping them to effectively manage, preserve and grow their wealth. WE is an independent advisory firm and is also one of just 30 firms listed on the Institute for the Fiduciary Standard’s Real Fiduciary™ Advisor Registry. To underscore their commitment to putting clients’ interests first, WE has become a Certified B Corporation, providing external validation of the firm’s commitment to balancing profit with purpose. WE Family Offices was most recently recognized for Outstanding Contribution to Wealth Management Thought Leadership by Family Wealth Report, and was listed among the Financial Times’ Top 300 Independent Advisors in the United States in 2019. As of June 30, 2019, WE now advises on approximately $8 billion and reports on an additional $1.3 billion for a total assets under advisement or reported of $9.3 billion, working with 72 families from all over the world. To enhance the services WE provides to global families, WE has formed an alliance with two international firms – Wren Investment Office in London and MdF Family Partners in Madrid. Learn more at www.wefamilyoffices.com. WE stands for Wealth Enterprise. ",Financial Services,Privately Held,11-50 employees,64.0,12017.0,"Coral Gables, Florida",2811 Ponce de Leon Blvd,Coral Gables,Florida,US,33134,"['UHNW wealth management', 'Financial Planning', 'Investments', 'Lifestyle planning', 'Family governance and education', 'Philanthropy', 'Succession planning', 'Thought leadership']",https://media.licdn.com/dms/image/v2/D4E0BAQHg6VkXfT9TSg/company-logo_200_200/B4EZZdXG0wHcAI-/0/1745323060886/we_family_offices_logo?e=2147483647&v=beta&t=hkgB07C4Ic8zxH1IaLru9VwMF3GFIswMi956COlpYbA,2026-05-17T04:07:02.807Z,2013.0
Whittier Trust Company,https://www.linkedin.com/company/whittier-trust-company,http://www.whittiertrust.com,"Whittier Trust is the oldest multi-family office headquartered on the West Coast, with offices in Pasadena, Newport Beach, West Los Angeles, San Francisco, Menlo Park, San Diego, Reno, Portland, and Seattle.

We serve ultra-high-net-worth individuals and families who want more than fragmented advice or standardized service.

We function as the family’s central point of coordination, bringing together investment management, tax strategy, estate planning, and other key areas into a fully aligned approach.

Our model is intentionally high-touch and low-volume. We work with a limited number of families so we can be proactive, responsive, and deeply involved.

Clients come to Whittier Trust for clarity, coordination, and a level of care they cannot find elsewhere.

True to its roots as a single-family office established in 1935, Whittier Trust provides an extensive suite of family office and concierge services. Wealth management advisors address a wide range of personal, family, fiduciary, and business needs, offering a unique perspective for problem-solving, support, and consultation. Families and legacies are cared for through personal trust services, while portfolio managers deliver comprehensive investment management across all asset classes. Years of experience in real estate are complemented by philanthropic support, with the philanthropy services department offering expertise in planned giving and deep knowledge of the nonprofit community.  

Visit the website to learn more about the tailored teams and specialized services that Whittier Trust provides. Follow this page for market analysis from leading industry experts, as well as insights on portfolio management, estate planning, philanthropic strategies, and more.  
",Financial Services,Privately Held,201-500 employees,299.0,7011.0,"Pasadena, CA",177 E. Colorado Blvd,Pasadena,CA,US,91105,"['Investment Management', 'Trust Services', 'Family Office', 'Philanthropic Advisory Services', 'Investment Consulting', 'Real Estate', 'Energy', 'Nevada Trust Situs']",https://media.licdn.com/dms/image/v2/D560BAQGvdsbqyScJMA/company-logo_200_200/company-logo_200_200/0/1683741362519/whittier_trust_company_logo?e=2147483647&v=beta&t=eBcRdzNrhPqkYaUQfD98HYodfkgFvrArHaxpzKh6fQI,2026-05-17T04:07:09.708Z,1989.0
