query,position,title,url,domain,description,triage_status,triage_reason
"""single family office"" ""investments"" ""official""",1,The single-family office: An operational playbook,https://carta.com/learn/private-funds/structures/family-offices/sfo/,carta.com,"What is the minimum net worth for a single-family office? While there is no official threshold, the high operational costs of running an SFO ...Read more",reject,non-entity result
"""single family office"" ""investments"" ""official""",2,2025 Investment Insights for Single Family Offices,https://info.wealth.bny.com/rs/636-GOT-884/images/BNYW_2025_Investment_Insights_Single_Family_Offices_Report.pdf,info.wealth.bny.com,The Case for Co-Investments. TOP CHALLENGES WHEN CONSIDERING NEW INVESTMENTS ... official promotion of “friendshoring.” This year the pattern has flipped ...Read more,reject,non-entity result
"""single family office"" ""investments"" ""official""",3,The UHNW Institute JUNE 2025 MONTHLY THEME,https://www.uhnwinstitute.org/the-uhnw-institute-june-2025-monthly-theme-the-single-family-office/,uhnwinstitute.org,We're excited to preview our newest initiative: the Single-Family Office (SFO) Membership offering. ... Official membership details launch right ...Read more,reject,non-entity result
"""single family office"" ""investments"" ""official""",4,Single Family Office Creating Operating And Managing ...,http://blog.centurylink.com/qflapl/ptremblez/041627/3819N6O/single-family__office-creating-operating_and_managing-investments-of-a-single-family-office.pdf,blog.centurylink.com,a6eb666262 The 'Government of Jersey' is the official identity of ... Single Family Office Creating Operating And Managing Investments Of A Single Family Office.,candidate_raw,own-domain result with direct family-office language
"""single family office"" ""investments"" ""official""",5,SINGLE FAMILY OFFICE REGULATIONS,https://qfcra-en.thomsonreuters.com/sites/default/files/net_file_store/QFCRA_8879_VER2.pdf,qfcra-en.thomsonreuters.com,official original text. Any translation thereof into another language ... individual Single Family Office Clients to investments and other assets that ...Read more,reject,non-entity result
"""single family office"" ""investments"" ""official""",6,"Single Family Offices - Overview, News & Similar companies",https://www.zoominfo.com/c/single-family-offices/368192065,zoominfo.com,A Gateway to the single family office community Single family offices manage the investments of the wealthiest families globally. Numbers are growing... www.Read more,reject,directory/social/regulator result; use only as corroboration or lookup
"""single family office"" ""investments"" ""official""",7,THE SINGLE FAMILY OFFICE,https://familyoffices.com/wp-content/uploads/2018/11/The-Single-Family-Office-Book-By-Richard-Wilson.pdf,familyoffices.com,"Officer, PR team, or official spokesperson might be necessary to effectively ... evaluating direct investments and co-investments. This is not a due.Read more",reject,directory/social/regulator result; use only as corroboration or lookup
"""single family office"" ""investments"" ""official""",8,Family Office Compliance: 12 Essentials For Single ...,https://www.asora.com/blog/family-office-compliance,asora.com,"A single family office exists to steward family wealth and align ... investments and transactions. In many jurisdictions, “ownership ...Read more",reject,non-entity result
"""single family office"" ""investments"" ""official""",9,Financial Services Family Offices - Axial,https://www.axial.net/forum/companies/financial-services-family-offices/3/,axial.net,"Explore 149 Financial Services Family Offices with recent M&A activity. Axial is an M&A platform that connects business owners, investors, and M&A advisors ...",candidate_raw,own-domain result with direct family-office language
"""single family office"" ""investments"" ""official""",10,Single Family Office Summit 2026 - Fund Manager's Guide,https://pipelineroad.com/events/single-family-office-summit,pipelineroad.com,"Single Family Office Summit 2026: 2026 (dates TBD) in New York, NY, USA ... 150+. PE VC Real Estate Credit. Official website. Overview. 150+ investors, 75+ ...Read more",reject,non-entity result
"""multi-family office"" ""Form ADV"" ""family office services""",1,"The Multi-Family Office: Structure, Services and Fees ...",https://creativeplanning.com/insights/high-net-worth/multi-family-office/,creativeplanning.com,"Multi-family office services bring together the investment, tax ... Form ADV Part 2A · Customer Relationship Summary · Transparency in ...Read more",candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",2,Firm Brochure (Part 2A of Form ADV),https://www.wefamilyoffices.com/wp-content/uploads/2024/03/WE-Family-Offices-LLC-Form-ADV-Part-2A-Brochure-March-20-2024.pdf,wefamilyoffices.com,"WE Family Offices is an award-winning, independent, client fee-only multi-family office. WE provides strategic wealth advice to more than ...Read more",candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",3,Page 1 of 2,https://reports.adviserinfo.sec.gov/crs/crs_289997.pdf,reports.adviserinfo.sec.gov,"We provide multi-family office services, including portfolio management, selection of separate account managers, family office, and wealth management plan ...Read more",reject,directory/social/regulator result; use only as corroboration or lookup
"""multi-family office"" ""Form ADV"" ""family office services""",4,What Is a Multi-Family Office?,https://cressetcapital.com/family-office/multi-family-office/,cressetcapital.com,"Multi-family office services typically include a multitude of other ... Form ADV Part 2A Brochure for details on services, fees, and conflicts. Cresset ...Read more",candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",5,Multi-Family Office,https://caprock.com/expertise/multi-family-office/,caprock.com,"Multi-Family Office Services. Wealth Management. Consolidated Reporting ... Form ADV, Part 2A · Form CRS · Terms of Service · Privacy Policy · Form ADV, Part 2A ...Read more",candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",6,Benefits of Working with a Multi-Family Office,https://aspiriant.com/fathom/benefits-of-multi-family-office/,aspiriant.com,Aspiriant's multi-family office delivers a full range of multi-family office services ... Form ADV. Disclosure: The above represents the ...Read more,candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",7,BBH Multi-Family Office Client Disclosure Document - 2024,https://www.bbh.com/content/dam/bbh/external/www//policies-and-disclosures/pdfs/BBH%20Multi-Family%20Office%20Client%20Disclosure%20Document%20-%202024.pdf,bbh.com,"Certain family office services may be provided by BBH or its affiliates ... The SID completes Form ADV, which is available to the general public on the ...Read more",candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",8,"Multi Family Office Services - Legacy Wealth Advisors, LLC",https://legacywealthadvisorsllc.com/multi-family-office-services/,legacywealthadvisorsllc.com,For larger and more complex estates we can provide additional multi-family office services. ... Form ADV 2A Firm Brochure · Customer Relationship Summary ...Read more,candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",9,Setting Up a Family Office: The Institutional Approach,https://carta.com/learn/private-funds/structures/family-offices/setting-up-family-office/,carta.com,"Single-family vs. multi-family office models · Core family office services ... Form ADV. To qualify for this total exclusion, the office must ...Read more",candidate_raw,own-domain result with direct family-office language
"""multi-family office"" ""Form ADV"" ""family office services""",10,Multi-Family Office,https://www.sjsinvest.com/multi-family-office,sjsinvest.com,How can multi-family office services make life more enjoyable and fulfilling for my family? ... Form CRS Form ADV Part 2A Disclosures Terms of Use Privacy ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",1,Why Family Offices Choose Direct Investments Over PE ...,https://cowenpartners.com/family-offices-direct-investing-vs-funds/,cowenpartners.com,Why Family Offices Are Choosing Direct Investments Over Private Equity Funds | Family Office Executive Recruiters ... We Build the Team Inside the ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",2,Family Office Wealth Management,https://privatebank.jpmorgan.com/nam/en/who-we-serve/family-office,privatebank.jpmorgan.com,"Family office services team experience. At J.P. Morgan Private Bank, our ... In Private Markets, we offer access to direct investments and a robust alternatives ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",3,"Family Office Direct Investing Strategy: How to Source, ...",https://revgroupllc.com/family-office-direct-investing/,revgroupllc.com,direct investments ... Most family offices do not want to build a full internal investment team or manage complex deal structures and ongoing ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",4,The evolution of direct investing for family offices,https://www.privatebank.citibank.com/legacy/newcpb-media/media/documents/insights/the-evolution-of-direct-investing-for-family-offices.pdf.coredownload.inline.pdf,privatebank.citibank.com,Family Office Survey. This survey found that 76% of family offices have at least 10% of their total portfolio assigned to direct investments and 44% have at ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",5,Strategies for the Family Office Contemplating Direct ...,https://www.mcguirewoods.com/client-resources/alerts/2019/8/strategies-family-office-contemplating-direct-investments/,mcguirewoods.com,"Strategies for the Family Office Contemplating Direct Investments. ... team is not practical, the SFO should consider partnering with an ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",6,Family Office Direct Investment Strategies: Value with ...,https://www.linkedin.com/pulse/family-office-direct-investment-strategies-value-precision-moulin-ih4yc,linkedin.com,Curious how (or if) you've seen this factor addressed in practice within family office direct investments. Like · Reply · 2 Reactions 3 ...Read more,reject,directory/social/regulator result; use only as corroboration or lookup
"""family office"" ""direct investments"" ""team""",7,Direct Investments,https://themiamifamilyoffice.com/direct-investments/,themiamifamilyoffice.com,Our Team · Direct Investments. Family Office Direct Investments. Picture of one of our 116 direct investments. The Miami Family Office is a single family office ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""direct investments"" ""team""",8,Investment Management - | - Family Office Practice,https://www.lowenstein.com/practices-sectors/investment-management/family-office-practice,lowenstein.com,Advising regarding direct investments and allocation of capital to third-party managers ... Employment Counseling & Litigation. Our Team. News & Insights.Read more,reject,non-entity result
"""family office"" ""direct investments"" ""team""",9,The Quiet Shift Making Family Office Direct Investing a ...,https://www.assetvantage.com/blogs/family-office-direct-investing/,assetvantage.com,The Quiet Shift Making Family Office Direct Investing a Default Strategy. family office direct investments.Read more,candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",1,Firm Brochure (Part 2A of Form ADV),https://www.wefamilyoffices.com/wp-content/uploads/2024/03/WE-Family-Offices-LLC-Form-ADV-Part-2A-Brochure-March-20-2024.pdf,wefamilyoffices.com,"The firm provides a range of family office services, including investment advice, to our client families. WE advises our client families ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",2,Form ADV Part 2A Brochure,https://stokesfamilyoffice.com/wp-content/uploads/2025/12/Stokes-Family-Office-ADV-121925.pdf,stokesfamilyoffice.com,"Form ADV Part 2A Brochure. Address: 1100 Poydras Street. Suite 2775 ... Consulting Services, and Family Office Services. Prior to Stokes ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",3,BROCHURE,https://pathstone.com/wp-content/uploads/2025/10/Pathstone-Family-Office-Part-2A-Form-ADV-03.31.25-1.pdf,pathstone.com,Extended Family Office Services: Family office structuring and administrative support; family office ... details well Form ADV Part 2A Item. PATHSTONE KEY ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",4,FORM ADV PART 2A: BROCHURE,https://rcmbrand.rockco.com/Rockefeller_Global_Family_Office_Form_ADV_Part_2A_Brochure.pdf,rcmbrand.rockco.com,"and, if receiving family office services, a separate family office services agreement (each, a “Client. Agreement”). ... Form ADV Part 2A Brochure for ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",5,Part-2A-of-Form-ADV-Freedom-Family-Office. ...,https://static.twentyoverten.com/5e32e6007838fb4ec9fbbf2f/slQEAaupbSOql/Part-2A-of-Form-ADV-Freedom-Family-Office.pdf,static.twentyoverten.com,"For family office services, FFO charges an agreed-upon fixed fee that starts at $15,000. The fee will increase based on the complexity of the client's financial ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",6,Form ADV Part 2A Brochure Supplement,https://caprock.com/wp-content/uploads/2025/03/Caprock-Form-ADV-Part-2A-Final-250326.pdf,caprock.com,"Form ADV Part 2A. Brochure Supplement. The Caprock Group, LLC. 800 West ... Family Office services may not be offered to all Caprock clients.Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",7,Item 1 Cover Page,https://uswealth.bmo.com/media/filer_public/c5/96/c59648e8-a0f3-44f1-aa30-119e7a342cf9/bmo_family_office_llc_adv_part_2a.pdf,uswealth.bmo.com,"Form ADV Part 2A. Brochure. January 27, 2025 ... powers (“BMO Bank”); family office services and investment advisory services through BMO.Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",8,COVER PAGE This Form ADV Part 2A (the “Brochure ...,https://focus-financial.files.svdcdn.com/production/documents/ADV-Part-2A-05.01.25.pdf?dm=1748439429,focus-financial.files.svdcdn.com,This Form ADV Part 2A (the “Brochure”) provides information about the ... Fees for family office services are either a flat annual fee or an hourly ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",9,"ONEASCENT FAMILY OFFICE, LLC",https://sovereignfamilyoffice.co/wp-content/uploads/2025/06/20250320-OAFO-Form-ADV-Part-2A-1.pdf,sovereignfamilyoffice.co,"OneAscent Family Office, LLC (“OAFO”) provides investment advisory and family office services to ... Family office services include the following: • Goals ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office services"" ""Form ADV Part 2A""",10,Fifth Avenue Family Office LLC,https://fifthavenuefamily.com/wp-content/uploads/2025/06/2025-Fifth-Avenue-Family-ADV-Part-2A-Brochure.pdf,fifthavenuefamily.com,"Form ADV Part 2A Brochure. March 22, 2025. 2. Item 2 Material Changes ... Family Office services consulting and advising across a client's ...Read more",candidate_raw,own-domain result with direct family-office language
"""single-family office"" ""portfolio""",1,A 7-step guide to single family office investment,https://www.mercer.com/insights/investments/portfolio-strategies/guide-to-single-family-office-investment/,mercer.com,"The investment beliefs of a single family office should embody the needs ... These will vary, so there is no single optimal portfolio. However, an ...Read more",reject,non-entity result
"""single-family office"" ""portfolio""",2,A Simple guide to single family office structure,https://andsimple.co/guides/single-family-office/,andsimple.co,"Single family office vs multi-family office; The core single ... portfolio construction and management and due diligence, as well as ...Read more",reject,non-entity result
"""single-family office"" ""portfolio""",3,The single-family office: An operational playbook,https://carta.com/learn/private-funds/structures/family-offices/sfo/,carta.com,"The single-family office: An operational playbook ... Investment management: This involves overseeing a global, multi-asset class portfolio that ...Read more",reject,non-entity result
"""single-family office"" ""portfolio""",4,Single Family Office: Private Wealth Management,https://www.morganstanley.com/what-we-do/wealth-management/private-wealth-management/single-family-offices,morganstanley.com,"Establish a goal tailored investment plan for growth and legacy panning: investment strategy, asset allocation, portfolio ... Single Family Office ...Read more",candidate_raw,own-domain result with direct family-office language
"""single-family office"" ""portfolio""",5,2025 Investment Insights for Single Family Offices,https://info.wealth.bny.com/rs/636-GOT-884/images/BNYW_2025_Investment_Insights_Single_Family_Offices_Report.pdf,info.wealth.bny.com,"Given changing trade dynamics, family offices will need to place a heightened focus on risk management, operational agility and portfolio diversification to.Read more",reject,non-entity result
"""single-family office"" ""portfolio""",6,"Single-Family Office: Structure, Costs and Setup",https://creativeplanning.com/insights/high-net-worth/single-family-office/,creativeplanning.com,"Single-Family Office? Structure ... Coordination across accounts, entities and structures helps ensure consistent portfolio management.Read more",candidate_raw,own-domain result with direct family-office language
"""single-family office"" ""portfolio""",7,From Single-Family Office to Multifamily Office,https://www.pm-research.com/content/iijwealthmgmt/12/4/12,pm-research.com,by RC Elliott · 2010 · Cited by 12 — From Single-Family Office to Multifamily Office. Robert C. Elliott. The ... Portfolio Management in Theory and Practice · Wealth Management · Economics and ...Read more,candidate_raw,own-domain result with direct family-office language
"""single-family office"" ""portfolio""",8,Multi-family vs. single family office,https://privatebank.jpmorgan.com/nam/en/who-we-serve/family-office/single-family-office-vs-multi-family-office,privatebank.jpmorgan.com,"Families should carefully assess their readiness to invest the time, resources and leadership required to sustain a single-family office.Read more",candidate_raw,own-domain result with direct family-office language
"""single-family office"" ""portfolio""",9,Family Office Investment Strategy: How Portfolios Are Built ...,https://fundcount.com/family-office-investment-strategy/,fundcount.com,Portfolio design: target allocation ranges and what role each asset ... Single family office vs multi family office governance. Single family office (SFO)Read more,candidate_raw,own-domain result with direct family-office language
