priority,seed_entity,principal_or_family,candidate_type,geography,seed_source_basis,official_site_query,linkedin_query,mandate_query,contact_query,recent_signal_query,notes
69,Reinet Investments,Rupert family,family_holding_company,Luxembourg,top_family_office_sources,"Reinet Investments official website Rupert family","Reinet Investments LinkedIn company","Reinet Investments portfolio sectors","Reinet Investments contact","Reinet Investments news 2025 2026","Family-linked investment company"
70,Blue Pool Capital,Joe Tsai or Alibaba-linked,single_family_office,Hong Kong,top_family_office_sources,"Blue Pool Capital family office official","Blue Pool Capital LinkedIn company","Blue Pool Capital investment portfolio","Blue Pool Capital contact address","Blue Pool Capital investment news 2025 2026","Validate official domain and principal relationship"
71,Declaration Partners,David Rubenstein-linked,family_backed_investment_firm,United States,top_family_office_sources,"Declaration Partners official website family office","Declaration Partners LinkedIn company","Declaration Partners investment strategy sectors","Declaration Partners contact team","Declaration Partners investment news 2025 2026","Family-backed investment firm"
72,Madrone Capital Partners,Walton family-linked,single_family_office,United States,top_family_office_sources,"Madrone Capital Partners official website family office","Madrone Capital Partners LinkedIn company","Madrone Capital Partners investment strategy","Madrone Capital Partners contact","Madrone Capital Partners investment news 2025 2026","Same Walton family; use only if non-overlap accepted"
73,Hillspire,Eric Schmidt,single_family_office,United States,top_family_office_sources,"Hillspire official website Eric Schmidt family office","Hillspire LinkedIn company","Hillspire investment office portfolio","Hillspire contact","Hillspire investment news 2025 2026","Validate official source availability"
74,Sobrato Capital,Sobrato family,single_family_office,United States,top_family_office_sources,"Sobrato Capital official website family office","Sobrato Capital LinkedIn company","Sobrato Capital investment strategy portfolio","Sobrato Capital contact","Sobrato Capital investment news 2025 2026","Family investment office"
75,Duchossois Capital Management,Duchossois family,family_backed_investment_firm,United States,top_family_office_sources,"Duchossois Capital Management official website family investment","Duchossois Capital Management LinkedIn company","Duchossois Capital Management investment strategy","Duchossois Capital Management contact team","Duchossois Capital Management investment news 2025 2026","Family-backed investment firm"
76,Pritzker Group,Pritzker family,family_backed_investment_firm,United States,top_family_office_sources,"Pritzker Group official website family investment","Pritzker Group LinkedIn company","Pritzker Group investment strategy sectors","Pritzker Group contact team","Pritzker Group investment news 2025 2026","Family-backed investment platform"
77,Pritzker Private Capital,Pritzker family,family_backed_investment_firm,United States,top_family_office_sources,"Pritzker Private Capital official website family investment","Pritzker Private Capital LinkedIn company","Pritzker Private Capital investment sectors","Pritzker Private Capital contact team","Pritzker Private Capital investment news 2025 2026","Family-backed private capital platform"
78,ICONIQ Capital,Silicon Valley founder families,multi_family_office,United States,top_family_office_sources,"ICONIQ Capital official website family office","ICONIQ Capital LinkedIn company","ICONIQ Capital investment strategy family office","ICONIQ Capital contact team","ICONIQ Capital investment news 2025 2026","MFO/investment platform; classify carefully"
79,Duquesne Family Office,Stanley Druckenmiller,single_family_office,United States,public_family_office_sources,"Duquesne Family Office official website","Duquesne Family Office LinkedIn company","Duquesne Family Office investment strategy","Duquesne Family Office contact Form ADV","Duquesne Family Office 13F investment 2025 2026","Validate SEC/IAPD and recent filings"
80,Cohen Private Ventures,Steven A. Cohen,single_family_office,United States,public_family_office_sources,"Cohen Private Ventures official website family office","Cohen Private Ventures LinkedIn company","Cohen Private Ventures investment strategy portfolio","Cohen Private Ventures contact","Cohen Private Ventures investment news 2025 2026","Family/private investment office"
81,Omega Advisors,Leon Cooperman,single_family_office,United States,public_family_office_sources,"Omega Advisors family office official website","Omega Advisors LinkedIn company","Omega Advisors investment strategy","Omega Advisors contact Form ADV","Omega Advisors 13F investment 2025 2026","Former hedge fund/family office; classify carefully"
82,Paulson & Co.,John Paulson,single_family_office,United States,public_family_office_sources,"Paulson & Co family office official website","Paulson & Co LinkedIn company","Paulson & Co investment strategy family office","Paulson & Co contact Form ADV","Paulson & Co 13F investment 2025 2026","Former hedge fund/family office; classify carefully"
83,Invus Group,Artal or related family capital,family_backed_investment_firm,United States,public_family_office_sources,"Invus Group official website family office","Invus Group LinkedIn company","Invus Group investment strategy sectors","Invus Group contact team","Invus Group investment news 2025 2026","Long-term family-backed investment firm; validate ownership language"
84,RIT Capital Partners,Rothschild family-linked,family_backed_investment_firm,United Kingdom,public_family_office_sources,"RIT Capital Partners official website Rothschild family","RIT Capital Partners LinkedIn company","RIT Capital Partners investment strategy sectors","RIT Capital Partners contact","RIT Capital Partners investment news 2025 2026","Listed investment trust; not classic FO"
85,Pitcairn,client families,multi_family_office,United States,mfo_sources,"Pitcairn family office official website","Pitcairn LinkedIn company","Pitcairn family office services investment","Pitcairn contact team","Pitcairn news 2025 2026","MFO; validate private client orientation"
86,Glenmede,client families,multi_family_office,United States,mfo_sources,"Glenmede family office official website","Glenmede LinkedIn company","Glenmede family office services investment","Glenmede contact team","Glenmede news 2025 2026","MFO/private wealth"
87,Northwood Family Office,client families,multi_family_office,Canada,mfo_sources,"Northwood Family Office official website","Northwood Family Office LinkedIn company","Northwood Family Office investment services","Northwood Family Office contact team","Northwood Family Office news 2025 2026","Canadian MFO"
88,Stanhope Capital Group,client families,multi_family_office,United Kingdom,mfo_sources,"Stanhope Capital Group family office official website","Stanhope Capital Group LinkedIn company","Stanhope Capital family office investment management","Stanhope Capital contact team","Stanhope Capital news 2025 2026","MFO/investment office"
89,Bedrock Group,client families,multi_family_office,United Kingdom,mfo_sources,"Bedrock Group family office official website","Bedrock Group LinkedIn company","Bedrock Group investment office family office","Bedrock Group contact team","Bedrock Group news 2025 2026","MFO"
90,LJ Partnership,client families,multi_family_office,United Kingdom,mfo_sources,"LJ Partnership family office official website","LJ Partnership LinkedIn company","LJ Partnership investment office family office","LJ Partnership contact team","LJ Partnership news 2025 2026","MFO"
91,Corient,client families,multi_family_office,United States,mfo_sources,"Corient family office official website","Corient LinkedIn company","Corient family office investment services","Corient contact team","Corient news 2025 2026","Large MFO/private wealth; classify carefully"
92,Mutual Trust,Myer and client families,multi_family_office,Australia,mfo_sources,"Mutual Trust family office official website","Mutual Trust LinkedIn company","Mutual Trust family office investment services","Mutual Trust contact team","Mutual Trust news 2025 2026","Australian MFO"
93,Crestone Wealth Management,client families,multi_family_office,Australia,mfo_sources,"Crestone Wealth Management family office official","Crestone Wealth Management LinkedIn company","Crestone family office investment services","Crestone Wealth Management contact team","Crestone Wealth Management news 2025 2026","Australian private wealth/MFO"
94,Koda Capital,client families,multi_family_office,Australia,mfo_sources,"Koda Capital family office official website","Koda Capital LinkedIn company","Koda Capital family office investment services","Koda Capital contact team","Koda Capital news 2025 2026","Australian wealth/MFO"
95,Kruse Capital,Brandon Kruse,single_family_office,United States,official_site_discovery,"Kruse Capital family office Brandon Kruse official website","Kruse Capital LinkedIn company","Kruse Capital investment office thesis","Kruse Capital contact","Kruse Capital investment news 2025 2026","Official site search result describes private investment office; validate via crawl"
96,White Oak Enterprises,private family capital,family_office_platform,United States,official_site_discovery,"White Oak Enterprises family office investment platform official","White Oak Enterprises LinkedIn company","White Oak Enterprises public investments private equity real estate climate","White Oak Enterprises contact team","White Oak Enterprises investment news 2025 2026","Official site search result describes family office and investment platform"
97,Brushwood Holdings,Jaime Vieser or private family capital,private_investment_office,United States,official_site_discovery,"Brushwood Holdings family office official website","Brushwood Holdings LinkedIn company","Brushwood Holdings investment office strategy","Brushwood Holdings contact","Brushwood Holdings news investment 2025 2026","Official site search result uses family office flexibility language"
98,Vernal Point,client families,outsourced_single_family_office,United States,official_site_discovery,"Vernal Point single family office official website","Vernal Point LinkedIn company","Vernal Point family office investment team","Vernal Point contact team","Vernal Point news 2025 2026","Outsourced SFO solution; not a capital owner"
99,Longcroft Capital,private family capital,single_family_office,United Kingdom,official_site_discovery,"Longcroft Capital family office official website","Longcroft Capital LinkedIn company","Longcroft Capital family capital investment strategy","Longcroft Capital contact","Longcroft Capital investment news 2025 2026","Validate official own-capital language"
100,Kaulig Capital,Kaulig family,single_family_office,United States,official_site_discovery,"Kaulig Capital single family office official website","Kaulig Capital LinkedIn company","Kaulig Capital investment focus sectors","Kaulig Capital contact team","Kaulig Capital investment news 2025 2026","Validate family office classification"
